abbr,expansion,confidence,text_length,use_embeddings,timestamp,true_expansion,correct,precision,accuracy
SOB,Shortness of Breath,0.95,91,False,2026-02-22 20:21:09,Shortness of Breath,1,0.8,0.8
BP,Blood Pressure,0.95,91,False,2026-02-22 20:21:09,Blood Pressure,1,0.8,0.8
HTN,Hypertension,0.95,91,False,2026-02-22 20:21:09,Hypertension,1,0.8,0.8
DM,Diabetes Mellitus,0.95,91,False,2026-02-22 20:21:09,Diabetes Mellitus,1,0.8,0.8
RA,Rheumatoid Arthritis or Right Atrium,0.95,91,False,2026-02-22 20:21:09,Rheumatoid Arthritis,0,0.8,0.8
SOB,Shortness of Breath,0.95,91,False,2026-02-22 20:21:09,Shortness of Breath,1,0.8,0.8
BP,Blood Pressure,0.95,91,False,2026-02-22 20:21:09,Blood Pressure,1,0.8,0.8
HTN,Hypertension,0.95,91,False,2026-02-22 20:21:09,Hypertension,1,0.8,0.8
DM,Diabetes Mellitus,0.95,91,False,2026-02-22 20:21:09,Diabetes Mellitus,1,0.8,0.8
RA,Rheumatoid Arthritis or Right Atrium,0.95,91,False,2026-02-22 20:21:09,Rheumatoid Arthritis,0,0.8,0.8
